metric_name,percentile,threshold_value,baseline_start_date,baseline_end_date
avg_merge_latency_hours,38.7,2.0,2022-10-01,2025-09-30
avg_merge_latency_hours,38.8,2.0,2022-10-01,2025-09-30
avg_merge_latency_hours,38.9,2.0,2022-10-01,2025-09-30
avg_merge_latency_hours,39.0,2.0,2022-10-01,2025-09-30
avg_merge_latency_hours,39.1,2.0,2022-10-01,2025-09-30
avg_merge_latency_hours,39.2,2.0,2022-10-01,2025-09-30
avg_merge_latency_hours,39.3,2.0,2022-10-01,2025-09-30
avg_merge_latency_hours,39.4,2.0,2022-10-01,2025-09-30
avg_merge_latency_hours,39.5,2.0,2022-10-01,2025-09-30
avg_merge_latency_hours,39.6,2.1153846153846154,2022-10-01,2025-09-30
avg_merge_latency_hours,39.7,2.2222222222222223,2022-10-01,2025-09-30
avg_merge_latency_hours,39.8,2.333333333333333,2022-10-01,2025-09-30
avg_merge_latency_hours,39.9,2.4,2022-10-01,2025-09-30
avg_merge_latency_hours,40.0,2.5,2022-10-01,2025-09-30
avg_merge_latency_hours,40.1,2.5,2022-10-01,2025-09-30
